x, y, z
 0.349, -0.952, 0.061
 0.349, -0.952, 0.061
 0.349, -0.952, 0.061
 0.349, -0.950, 0.061
 0.349, -0.950, 0.061
 0.349, -0.948, 0.061
 0.349, -0.948, 0.061
 0.347, -0.949, 0.062
 0.347, -0.949, 0.062
 0.348, -0.950, 0.064
 0.348, -0.950, 0.064
 0.348, -0.950, 0.064
 0.349, -0.949, 0.064
 0.349, -0.949, 0.064
 0.348, -0.948, 0.064
 0.348, -0.948, 0.064
 0.349, -0.949, 0.065
 0.349, -0.949, 0.065
 0.349, -0.949, 0.065
 0.349, -0.948, 0.063
 0.349, -0.948, 0.063
 0.349, -0.949, 0.063
 0.349, -0.949, 0.063
 0.347, -0.949, 0.062
 0.347, -0.949, 0.062
 0.347, -0.949, 0.062
 0.349, -0.950, 0.062
 0.349, -0.950, 0.062
 0.349, -0.949, 0.061
 0.349, -0.949, 0.061
 0.349, -0.950, 0.063
 0.349, -0.950, 0.063
 0.349, -0.950, 0.063
 0.349, -0.950, 0.063
 0.349, -0.950, 0.063
 0.348, -0.950, 0.063
 0.348, -0.950, 0.063
 0.348, -0.949, 0.063
 0.348, -0.949, 0.063
 0.348, -0.949, 0.064
 0.348, -0.949, 0.064
 0.348, -0.949, 0.064
 0.349, -0.949, 0.063
 0.349, -0.949, 0.063
 0.349, -0.949, 0.063
 0.349, -0.949, 0.063
 0.348, -0.949, 0.063
 0.348, -0.949, 0.063
 0.349, -0.948, 0.062
 0.349, -0.948, 0.062
 0.349, -0.948, 0.062
 0.350, -0.949, 0.061
 0.350, -0.949, 0.061
 0.350, -0.950, 0.064
 0.350, -0.950, 0.064
 0.349, -0.950, 0.063
 0.349, -0.950, 0.063
 0.349, -0.949, 0.063
 0.349, -0.949, 0.063
 0.349, -0.949, 0.063
 0.348, -0.950, 0.063
 0.348, -0.950, 0.063
 0.349, -0.949, 0.063
 0.349, -0.949, 0.063
 0.349, -0.948, 0.063
 0.349, -0.948, 0.063
 0.349, -0.948, 0.063
 0.349, -0.951, 0.064
 0.349, -0.951, 0.064
 0.349, -0.948, 0.062
 0.349, -0.948, 0.062
 0.349, -0.948, 0.062
 0.349, -0.948, 0.062
 0.349, -0.948, 0.063
 0.349, -0.948, 0.063
 0.349, -0.948, 0.063
 0.349, -0.949, 0.063
 0.349, -0.949, 0.063
 0.349, -0.948, 0.063
 0.349, -0.948, 0.063
 0.349, -0.951, 0.064
 0.349, -0.951, 0.064
 0.349, -0.951, 0.064
 0.349, -0.949, 0.062
 0.349, -0.949, 0.062
 0.350, -0.950, 0.062
 0.350, -0.950, 0.062
 0.348, -0.949, 0.063
 0.348, -0.949, 0.063
 0.349, -0.949, 0.062
 0.349, -0.949, 0.062
 0.349, -0.949, 0.062
 0.349, -0.949, 0.063
 0.349, -0.949, 0.063
 0.349, -0.948, 0.062
 0.349, -0.948, 0.062
 0.349, -0.949, 0.062
 0.349, -0.949, 0.062
 0.349, -0.949, 0.062
 0.349, -0.949, 0.063
 0.349, -0.949, 0.063
 0.349, -0.949, 0.064
 0.349, -0.949, 0.064
 0.350, -0.950, 0.063
 0.350, -0.950, 0.063
 0.349, -0.949, 0.064
 0.349, -0.949, 0.064
 0.349, -0.949, 0.064
 0.350, -0.949, 0.064
 0.350, -0.949, 0.064
 0.350, -0.949, 0.065
 0.350, -0.949, 0.065
 0.349, -0.948, 0.064
 0.349, -0.948, 0.064
 0.350, -0.949, 0.062
 0.350, -0.949, 0.062
 0.350, -0.949, 0.062
 0.348, -0.950, 0.063
 0.348, -0.950, 0.063
 0.348, -0.948, 0.063
 0.348, -0.948, 0.063
 0.348, -0.948, 0.062
 0.348, -0.948, 0.062
 0.348, -0.950, 0.064
 0.348, -0.950, 0.064
 0.348, -0.950, 0.064
 0.347, -0.949, 0.062
 0.347, -0.949, 0.062
 0.347, -0.949, 0.064
 0.347, -0.949, 0.064
 0.347, -0.950, 0.065
 0.347, -0.950, 0.065
 0.347, -0.950, 0.065
 0.348, -0.950, 0.065
 0.348, -0.950, 0.065
 0.347, -0.948, 0.063
 0.347, -0.948, 0.063
 0.348, -0.949, 0.066
 0.348, -0.949, 0.066
 0.347, -0.949, 0.064
 0.347, -0.949, 0.064
 0.347, -0.949, 0.064
 0.350, -0.949, 0.063
 0.350, -0.949, 0.063
 0.346, -0.950, 0.062
 0.346, -0.950, 0.062
 0.345, -0.952, 0.062
 0.345, -0.952, 0.062
 0.348, -0.951, 0.065
 0.348, -0.951, 0.065
 0.348, -0.951, 0.065
 0.346, -0.949, 0.066
 0.346, -0.949, 0.066
 0.351, -0.948, 0.070
 0.351, -0.948, 0.070
 0.350, -0.948, 0.066
 0.350, -0.948, 0.066
 0.352, -0.949, 0.068
 0.352, -0.949, 0.068
 0.352, -0.949, 0.068
 0.352, -0.947, 0.071
 0.352, -0.947, 0.071
 0.357, -0.948, 0.068
 0.357, -0.948, 0.068
 0.355, -0.947, 0.064
 0.355, -0.947, 0.064
 0.356, -0.947, 0.062
 0.356, -0.947, 0.062
 0.356, -0.947, 0.062
 0.358, -0.947, 0.062
 0.358, -0.947, 0.062
 0.357, -0.947, 0.060
 0.357, -0.947, 0.060
 0.355, -0.948, 0.060
 0.355, -0.948, 0.060
 0.352, -0.949, 0.064
 0.352, -0.949, 0.064
 0.352, -0.949, 0.064
 0.353, -0.949, 0.064
 0.353, -0.949, 0.064
 0.351, -0.948, 0.066
 0.351, -0.948, 0.066
 0.350, -0.948, 0.068
 0.350, -0.948, 0.068
 0.350, -0.948, 0.068
 0.351, -0.947, 0.067
 0.351, -0.947, 0.067
 0.351, -0.946, 0.069
 0.351, -0.946, 0.069
 0.350, -0.948, 0.072
 0.350, -0.948, 0.072
 0.351, -0.947, 0.069
 0.351, -0.947, 0.069
 0.351, -0.947, 0.069
 0.352, -0.948, 0.068
 0.352, -0.948, 0.068
 0.351, -0.947, 0.067
 0.351, -0.947, 0.067
 0.354, -0.946, 0.068
 0.354, -0.946, 0.068
 0.354, -0.946, 0.068
 0.352, -0.948, 0.069
 0.352, -0.948, 0.069
 0.351, -0.949, 0.068
 0.351, -0.949, 0.068
 0.349, -0.951, 0.066
 0.349, -0.951, 0.066
 0.348, -0.949, 0.063
 0.348, -0.949, 0.063
 0.348, -0.949, 0.063
 0.345, -0.950, 0.065
 0.345, -0.950, 0.065
 0.348, -0.952, 0.063
 0.348, -0.952, 0.063
 0.345, -0.949, 0.064
 0.345, -0.949, 0.064
 0.347, -0.949, 0.066
 0.347, -0.949, 0.066
 0.347, -0.949, 0.066
 0.347, -0.948, 0.068
 0.347, -0.948, 0.068
 0.348, -0.948, 0.069
 0.348, -0.948, 0.069
 0.348, -0.949, 0.069
 0.348, -0.949, 0.069
 0.349, -0.948, 0.065
 0.349, -0.948, 0.065
 0.349, -0.948, 0.065
 0.350, -0.949, 0.069
 0.350, -0.949, 0.069
 0.350, -0.948, 0.066
 0.350, -0.948, 0.066
 0.349, -0.950, 0.063
 0.349, -0.950, 0.063
 0.349, -0.950, 0.063
 0.349, -0.949, 0.062
 0.349, -0.949, 0.062
 0.347, -0.948, 0.062
 0.347, -0.948, 0.062
 0.348, -0.949, 0.063
 0.348, -0.949, 0.063
 0.347, -0.950, 0.064
 0.347, -0.950, 0.064
 0.347, -0.950, 0.064
 0.348, -0.950, 0.065
 0.348, -0.950, 0.065
 0.347, -0.950, 0.066
 0.347, -0.950, 0.066
 0.347, -0.949, 0.065
 0.347, -0.949, 0.065
 0.347, -0.949, 0.065
 0.348, -0.949, 0.065
 0.348, -0.949, 0.065
 0.348, -0.948, 0.066
