x, y, z
 4.700, -11.902, -5.554
 4.700, -11.902, -5.554
 3.967, -11.536, -5.554
 3.967, -11.536, -5.554
 3.479, -11.414, -6.165
 3.479, -11.414, -6.165
 3.479, -11.414, -6.165
 3.052, -10.803, -6.592
 3.052, -10.803, -6.592
 2.258, -9.827, -6.653
 2.258, -9.827, -6.653
 1.709, -9.094, -6.775
 1.709, -9.094, -6.775
 1.709, -9.094, -6.775
 1.343, -8.240, -6.897
 1.343, -8.240, -6.897
 1.038, -7.385, -7.202
 1.038, -7.385, -7.202
 0.671, -7.019, -7.385
 0.671, -7.019, -7.385
 0.671, -7.019, -7.385
 0.671, -6.897, -7.812
 0.671, -6.897, -7.812
 0.061, -5.859, -7.751
 0.061, -5.859, -7.751
 -0.671, -4.395, -7.019
 -0.671, -4.395, -7.019
 -1.160, -2.991, -6.470
 -1.160, -2.991, -6.470
 -1.160, -2.991, -6.470
 -1.648, -1.526, -5.798
 -1.648, -1.526, -5.798
 -2.380, 0.122, -5.371
 -2.380, 0.122, -5.371
 -2.502, 1.709, -4.517
 -2.502, 1.709, -4.517
 -2.869, 3.662, -3.601
 -2.869, 3.662, -3.601
 -2.869, 3.662, -3.601
 -3.113, 5.432, -2.136
 -3.113, 5.432, -2.136
 -2.991, 6.653, -1.038
 -2.991, 6.653, -1.038
 -2.502, 7.629, -0.061
 -2.502, 7.629, -0.061
 -2.502, 7.629, -0.061
 -1.953, 7.996, 0.854
 -1.953, 7.996, 0.854
 -1.221, 8.118, 1.587
 -1.221, 8.118, 1.587
 -0.916, 8.362, 1.892
 -0.916, 8.362, 1.892
 -0.183, 8.362, 1.404
 -0.183, 8.362, 1.404
 -0.183, 8.362, 1.404
 0.549, 7.996, 0.977
 0.549, 7.996, 0.977
 0.916, 7.690, 0.916
 0.916, 7.690, 0.916
 1.465, 6.836, 1.038
 1.465, 6.836, 1.038
 2.197, 5.798, 1.099
 2.197, 5.798, 1.099
 2.197, 5.798, 1.099
 2.502, 5.066, 1.099
 2.502, 5.066, 1.099
 2.441, 4.700, 1.099
 2.441, 4.700, 1.099
 2.441, 4.211, 0.977
 2.441, 4.211, 0.977
 2.258, 3.235, 0.732
 2.258, 3.235, 0.732
 2.258, 3.235, 0.732
 2.258, 2.502, 0.488
 2.258, 2.502, 0.488
 2.197, 1.770, 0.488
 2.197, 1.770, 0.488
 2.380, 1.038, 0.305
 2.380, 1.038, 0.305
 2.380, 1.038, 0.305
 2.808, 0.305, 0.183
 2.808, 0.305, 0.183
 3.357, -0.427, 0.000
 3.357, -0.427, 0.000
 3.540, -1.038, 0.061
 3.540, -1.038, 0.061
 3.967, -1.648, -0.122
 3.967, -1.648, -0.122
 3.967, -1.648, -0.122
 4.272, -2.014, -0.549
 4.272, -2.014, -0.549
 4.089, -2.380, -0.732
 4.089, -2.380, -0.732
 3.845, -2.380, -1.038
 3.845, -2.380, -1.038
 3.845, -2.380, -1.038
 3.479, -2.014, -0.732
 3.479, -2.014, -0.732
 2.869, -1.526, -0.549
 2.869, -1.526, -0.549
 2.625, -0.916, -0.244
 2.625, -0.916, -0.244
 2.380, -0.488, 0.000
 2.380, -0.488, 0.000
 2.380, -0.488, 0.000
 2.136, -0.366, 0.000
 2.136, -0.366, 0.000
 1.892, -0.122, 0.244
 1.892, -0.122, 0.244
 1.526, -0.061, 0.305
 1.526, -0.061, 0.305
 1.343, 0.122, 0.366
 1.343, 0.122, 0.366
 1.343, 0.122, 0.366
 1.221, 0.427, 0.793
 1.221, 0.427, 0.793
 1.526, 0.610, 0.916
 1.526, 0.610, 0.916
 1.587, 0.793, 1.221
 1.587, 0.793, 1.221
 1.709, 0.854, 1.465
 1.709, 0.854, 1.465
 1.709, 0.854, 1.465
 1.770, 0.671, 1.526
 1.770, 0.671, 1.526
 1.953, 0.732, 1.709
 1.953, 0.732, 1.709
 2.075, 0.732, 1.709
 2.075, 0.732, 1.709
 2.014, 0.671, 1.770
 2.014, 0.671, 1.770
 2.014, 0.671, 1.770
 2.136, 0.549, 1.831
 2.136, 0.549, 1.831
 2.014, 0.488, 1.770
 2.014, 0.488, 1.770
 1.831, 0.549, 1.587
 1.831, 0.549, 1.587
 1.831, 0.549, 1.587
 1.892, 0.427, 1.465
 1.892, 0.427, 1.465
 2.014, 0.427, 1.465
 2.014, 0.427, 1.465
 1.892, 0.610, 1.465
 1.892, 0.610, 1.465
 1.953, 0.854, 1.709
 1.953, 0.854, 1.709
 1.953, 0.854, 1.709
 2.075, 1.038, 1.953
 2.075, 1.038, 1.953
 2.136, 1.221, 2.136
 2.136, 1.221, 2.136
 2.258, 1.160, 2.625
 2.258, 1.160, 2.625
 2.625, 1.221, 2.991
 2.625, 1.221, 2.991
 2.625, 1.221, 2.991
 2.869, 1.343, 3.235
 2.869, 1.343, 3.235
 2.930, 1.404, 3.540
 2.930, 1.404, 3.540
 2.991, 1.465, 3.784
 2.991, 1.465, 3.784
 2.930, 1.343, 3.967
 2.930, 1.343, 3.967
 2.930, 1.343, 3.967
 2.991, 1.221, 3.906
 2.991, 1.221, 3.906
 2.808, 1.099, 3.784
 2.808, 1.099, 3.784
 2.869, 1.038, 3.540
 2.869, 1.038, 3.540
 2.747, 0.977, 3.357
 2.747, 0.977, 3.357
 2.747, 0.977, 3.357
 2.686, 0.854, 3.174
 2.686, 0.854, 3.174
 2.502, 0.732, 3.052
