x,y,z
 0.302, -0.966, 0.073
 4.700, -11.902, -5.554
 53.064, 49.756, 18.091
x,y,z
 0.302, -0.966, 0.073
 4.700, -11.902, -5.554
 53.064, 49.756, 18.091
x,y,z
 0.311, -0.964, 0.074
 3.967, -11.536, -5.554
 53.357, 49.414, 16.321
x,y,z
 0.311, -0.964, 0.074
 3.967, -11.536, -5.554
 53.357, 49.414, 16.321
x,y,z
 0.311, -0.964, 0.074
 3.479, -11.414, -6.165
 53.357, 49.414, 16.321
x,y,z
 0.299, -0.967, 0.075
 3.479, -11.414, -6.165
 53.357, 49.414, 16.321
x,y,z
 0.299, -0.967, 0.075
 3.479, -11.414, -6.165
 53.357, 49.414, 16.321
x,y,z
 0.301, -0.969, 0.078
 3.052, -10.803, -6.592
 53.357, 49.414, 16.321
x,y,z
 0.301, -0.969, 0.078
 3.052, -10.803, -6.592
 53.357, 49.414, 16.321
x,y,z
 0.301, -0.968, 0.081
 2.258, -9.827, -6.653
 53.357, 49.414, 16.321
x,y,z
 0.301, -0.968, 0.081
 2.258, -9.827, -6.653
 53.357, 49.414, 16.321
x,y,z
 0.301, -0.968, 0.081
 1.709, -9.094, -6.775
 53.357, 49.414, 16.321
x,y,z
 0.299, -0.968, 0.085
 1.709, -9.094, -6.775
 53.357, 49.414, 16.321
x,y,z
 0.299, -0.968, 0.085
 1.709, -9.094, -6.775
 53.357, 49.414, 16.321
x,y,z
 0.289, -0.966, 0.085
 1.343, -8.240, -6.897
 53.357, 49.414, 16.321
x,y,z
 0.289, -0.966, 0.085
 1.343, -8.240, -6.897
 53.394, 49.500, 17.615
x,y,z
 0.292, -0.970, 0.082
 1.038, -7.385, -7.202
 53.394, 49.500, 17.615
x,y,z
 0.292, -0.970, 0.082
 1.038, -7.385, -7.202
 53.394, 49.500, 17.615
x,y,z
 0.298, -0.969, 0.083
 0.671, -7.019, -7.385
 53.394, 49.500, 17.615
x,y,z
 0.298, -0.969, 0.083
 0.671, -7.019, -7.385
 53.394, 49.500, 17.615
x,y,z
 0.298, -0.969, 0.083
 0.671, -7.019, -7.385
 53.394, 49.500, 17.615
x,y,z
 0.286, -0.970, 0.085
 0.671, -6.897, -7.812
 53.394, 49.500, 17.615
x,y,z
 0.286, -0.970, 0.085
 0.671, -6.897, -7.812
 53.394, 49.500, 17.615
x,y,z
 0.270, -0.969, 0.088
 0.061, -5.859, -7.751
 53.394, 49.500, 17.615
x,y,z
 0.270, -0.969, 0.088
 0.061, -5.859, -7.751
 53.394, 49.500, 17.615
x,y,z
 0.266, -0.971, 0.088
 -0.671, -4.395, -7.019
 53.394, 49.500, 17.615
x,y,z
 0.266, -0.971, 0.088
 -0.671, -4.395, -7.019
 53.394, 49.500, 17.615
x,y,z
 0.266, -0.972, 0.086
 -1.160, -2.991, -6.470
 53.394, 49.500, 17.615
x,y,z
 0.266, -0.972, 0.086
 -1.160, -2.991, -6.470
 53.625, 49.414, 17.908
x,y,z
 0.266, -0.972, 0.086
 -1.160, -2.991, -6.470
 53.625, 49.414, 17.908
x,y,z
 0.269, -0.971, 0.090
 -1.648, -1.526, -5.798
 53.625, 49.414, 17.908
x,y,z
 0.269, -0.971, 0.090
 -1.648, -1.526, -5.798
 53.625, 49.414, 17.908
x,y,z
 0.261, -0.970, 0.092
 -2.380, 0.122, -5.371
 53.625, 49.414, 17.908
x,y,z
 0.261, -0.970, 0.092
 -2.380, 0.122, -5.371
 53.625, 49.414, 17.908
x,y,z
 0.259, -0.970, 0.092
 -2.502, 1.709, -4.517
 53.625, 49.414, 17.908
x,y,z
 0.259, -0.970, 0.092
 -2.502, 1.709, -4.517
 53.625, 49.414, 17.908
x,y,z
 0.259, -0.970, 0.092
 -2.869, 3.662, -3.601
 53.625, 49.414, 17.908
x,y,z
 0.260, -0.972, 0.099
 -2.869, 3.662, -3.601
 53.625, 49.414, 17.908
x,y,z
 0.260, -0.972, 0.099
 -2.869, 3.662, -3.601
 53.625, 49.414, 17.908
x,y,z
 0.268, -0.973, 0.103
 -3.113, 5.432, -2.136
 53.625, 49.414, 17.908
x,y,z
 0.268, -0.973, 0.103
 -3.113, 5.432, -2.136
 53.625, 49.414, 17.908
x,y,z
 0.269, -0.971, 0.108
 -2.991, 6.653, -1.038
 53.625, 49.414, 17.908
x,y,z
 0.269, -0.971, 0.108
 -2.991, 6.653, -1.038
 53.308, 50.488, 17.676
x,y,z
 0.269, -0.971, 0.108
 -2.502, 7.629, -0.061
 53.308, 50.488, 17.676
x,y,z
 0.272, -0.967, 0.106
 -2.502, 7.629, -0.061
 53.308, 50.488, 17.676
x,y,z
 0.272, -0.967, 0.106
 -2.502, 7.629, -0.061
 53.308, 50.488, 17.676
x,y,z
 0.271, -0.968, 0.099
 -1.953, 7.996, 0.854
 53.308, 50.488, 17.676
x,y,z
 0.271, -0.968, 0.099
 -1.953, 7.996, 0.854
 53.308, 50.488, 17.676
x,y,z
 0.280, -0.966, 0.087
 -1.221, 8.118, 1.587
 53.308, 50.488, 17.676
x,y,z
 0.280, -0.966, 0.087
 -1.221, 8.118, 1.587
 53.308, 50.488, 17.676
x,y,z
 0.290, -0.967, 0.088
 -0.916, 8.362, 1.892
 53.308, 50.488, 17.676
x,y,z
 0.290, -0.967, 0.088
 -0.916, 8.362, 1.892
 53.308, 50.488, 17.676
x,y,z
 0.290, -0.967, 0.088
 -0.183, 8.362, 1.404
 53.308, 50.488, 17.676
x,y,z
 0.284, -0.968, 0.097
 -0.183, 8.362, 1.404
 53.308, 50.488, 17.676
x,y,z
 0.284, -0.968, 0.097
 -0.183, 8.362, 1.404
 53.308, 50.488, 17.676
x,y,z
 0.277, -0.968, 0.100
 0.549, 7.996, 0.977
 52.820, 50.977, 17.871
x,y,z
 0.277, -0.968, 0.100
 0.549, 7.996, 0.977
 52.820, 50.977, 17.871
x,y,z
 0.281, -0.966, 0.100
 0.916, 7.690, 0.916
 52.820, 50.977, 17.871
x,y,z
 0.281, -0.966, 0.100
 0.916, 7.690, 0.916
 52.820, 50.977, 17.871
x,y,z
 0.279, -0.968, 0.094
 1.465, 6.836, 1.038
 52.820, 50.977, 17.871
x,y,z
 0.279, -0.968, 0.094
 1.465, 6.836, 1.038
 52.820, 50.977, 17.871
x,y,z
 0.279, -0.968, 0.094
 2.197, 5.798, 1.099
 52.820, 50.977, 17.871
x,y,z
 0.280, -0.970, 0.090
 2.197, 5.798, 1.099
 52.820, 50.977, 17.871
x,y,z
 0.280, -0.970, 0.090
 2.197, 5.798, 1.099
 52.820, 50.977, 17.871
x,y,z
 0.280, -0.969, 0.088
 2.502, 5.066, 1.099
 52.820, 50.977, 17.871
x,y,z
 0.280, -0.969, 0.088
 2.502, 5.066, 1.099
 52.820, 50.977, 17.871
x,y,z
 0.283, -0.969, 0.084
 2.441, 4.700, 1.099
 52.820, 50.977, 17.871
x,y,z
 0.283, -0.969, 0.084
 2.441, 4.700, 1.099
 52.820, 50.977, 17.871
x,y,z
 0.284, -0.970, 0.083
 2.441, 4.211, 0.977
 52.625, 51.001, 17.188
x,y,z
 0.284, -0.970, 0.083
 2.441, 4.211, 0.977
 52.625, 51.001, 17.188
x,y,z
 0.284, -0.970, 0.083
 2.258, 3.235, 0.732
 52.625, 51.001, 17.188
x,y,z
 0.282, -0.969, 0.084
 2.258, 3.235, 0.732
 52.625, 51.001, 17.188
x,y,z
 0.282, -0.969, 0.084
 2.258, 3.235, 0.732
 52.625, 51.001, 17.188
x,y,z
 0.283, -0.968, 0.085
 2.258, 2.502, 0.488
 52.625, 51.001, 17.188
x,y,z
 0.283, -0.968, 0.085
 2.258, 2.502, 0.488
 52.625, 51.001, 17.188
x,y,z
 0.285, -0.969, 0.089
 2.197, 1.770, 0.488
 52.625, 51.001, 17.188
x,y,z
 0.285, -0.969, 0.089
 2.197, 1.770, 0.488
 52.625, 51.001, 17.188
x,y,z
 0.284, -0.969, 0.093
 2.380, 1.038, 0.305
 52.625, 51.001, 17.188
x,y,z
 0.284, -0.969, 0.093
 2.380, 1.038, 0.305
 52.625, 51.001, 17.188
x,y,z
 0.284, -0.969, 0.093
 2.380, 1.038, 0.305
 52.625, 51.001, 17.188
x,y,z
 0.284, -0.969, 0.097
 2.808, 0.305, 0.183
 52.625, 51.001, 17.188
x,y,z
 0.284, -0.969, 0.097
 2.808, 0.305, 0.183
 52.771, 50.623, 17.041
x,y,z
 0.281, -0.972, 0.094
 3.357, -0.427, 0.000
 52.771, 50.623, 17.041
x,y,z
 0.281, -0.972, 0.094
 3.357, -0.427, 0.000
 52.771, 50.623, 17.041
x,y,z
 0.280, -0.971, 0.091
 3.540, -1.038, 0.061
 52.771, 50.623, 17.041
x,y,z
 0.280, -0.971, 0.091
 3.540, -1.038, 0.061
 52.771, 50.623, 17.041
x,y,z
 0.280, -0.971, 0.091
 3.967, -1.648, -0.122
 52.771, 50.623, 17.041
x,y,z
 0.283, -0.973, 0.088
 3.967, -1.648, -0.122
 52.771, 50.623, 17.041
x,y,z
 0.283, -0.973, 0.088
 3.967, -1.648, -0.122
 52.771, 50.623, 17.041
x,y,z
 0.289, -0.972, 0.079
 4.272, -2.014, -0.549
 52.771, 50.623, 17.041
x,y,z
 0.289, -0.972, 0.079
 4.272, -2.014, -0.549
 52.771, 50.623, 17.041
x,y,z
 0.278, -0.971, 0.074
 4.089, -2.380, -0.732
 52.771, 50.623, 17.041
x,y,z
 0.278, -0.971, 0.074
 4.089, -2.380, -0.732
 52.771, 50.623, 17.041
x,y,z
 0.278, -0.971, 0.074
 3.845, -2.380, -1.038
 52.771, 50.623, 17.041
x,y,z
 0.273, -0.970, 0.071
 3.845, -2.380, -1.038
 52.771, 50.623, 17.041
x,y,z
 0.273, -0.970, 0.071
 3.845, -2.380, -1.038
 52.490, 50.488, 17.737
x,y,z
 0.274, -0.971, 0.069
 3.479, -2.014, -0.732
 52.490, 50.488, 17.737
x,y,z
 0.274, -0.971, 0.069
 3.479, -2.014, -0.732
 52.490, 50.488, 17.737
x,y,z
 0.272, -0.971, 0.076
 2.869, -1.526, -0.549
 52.490, 50.488, 17.737
x,y,z
 0.272, -0.971, 0.076
 2.869, -1.526, -0.549
 52.490, 50.488, 17.737
x,y,z
 0.276, -0.971, 0.076
 2.625, -0.916, -0.244
 52.490, 50.488, 17.737
x,y,z
 0.276, -0.971, 0.076
 2.625, -0.916, -0.244
 52.490, 50.488, 17.737
x,y,z
 0.276, -0.971, 0.076
 2.380, -0.488, 0.000
